Person,Category,Quality,Text
C,,,Oh here it is 555001223.
A,NA,,Alright.
A,Problem Investigation,Positive,"Uhm, I see you've purchased your phone four days ago without mail delivery insurance."
A,Problem Investigation,Positive,"And, policy states without mail delivery insurance, we can't issue you a replacement."
C,,,What about the warranty?
C,,,Doesn't that cover?
A,Problem Investigation,Positive,"Well, according to your account, you are not paying for standard premium or ultra premium insurance."
A,Problem Investigation,Positive,"So no, it's policy."
C,,,Well.
C,,,Doesn't the phone have one-year manufacturer's warranty?
A,Problem Investigation,Positive,Well.
A,Problem Resolution,Positive,"According to policy, I can't help you with that but I can give you the peach phone plus the insurance number."
A,Problem Resolution,Positive,It's gonna take between six and eight weeks to arrive.
A,Problem Resolution,Positive,Just give me a minute to sort through this.
C,,,"No no, I want to know what you can do for me."
C,,,I don't wanna make this more complicated.
C,,,"What, according to policy, can you do?"
A,Problem Resolution,Positive,"Look, without insurance, you have to fix it or buy another phone."
A,Problem Resolution,Positive,Its 799 plus 30 shipping and not including tax.
A,Problem Resolution,Positive,It's gonna take between 6 to 8 weeks to arrive.
C,,,800 dollars.
C,,,I paid 200 for this one.
A,NA,,Hold up.
A,Problem Resolution,Positive,I'm gonna speak with someone that can lower the cost for you.
A,Problem Resolution,Positive,I'm sorry ma'am I wasn't able to do anything for you about that price.
C,,,Do you think that I'm stupid?
C,,,You know what.
C,,,Forget it.
C,,,I want to talk to your manager.
A,NA,,He's sick.
C,,,"Fine, I'll talk to his manager then."
A,NA,,Vacation.
C,,,His Manager?
A,NA,,Vacation also.
A,NA,,"Bahamas, I think."
C,,,"No no, you are not going to pull this."
C,,,I want to talk to anyone above you.
A,NA,,"Well, the third shift manager will be in later."
C,,,"Yeah, what time?"
C,,,What was your name again?
A,Problem Resolution,Negative,"Look lady, I already told you my name."
A,Problem Resolution,Negative,It's Kirk and he'll be in or out 11:30 tonight.
C,,,You think I'm just gonna wait around till then.
A,Closure,Positive,Thank you for calling South Chicago Southern Cellular Service.
A,Closure,Positive,I hope I was able to help you with your issue.
A,Greetings,Positive,Hello.
A,Greetings,Positive,This call is from Grey Home Medical.
A,Greetings,Positive,Calls are recorded for quality purposes.
A,Greetings,Positive,Is this the residence of Edward Daniels?
C,,,Yes.
A,Greetings,Positive,Am I speaking with Edward?
C,,,Yes.
A,NA,,Alright Edward.
A,Problem Investigation,Positive,Your account requires immediate action.
A,Problem Investigation,Positive,I have an important information about your Grey Home medical account.
A,Account Verification,Positive,"Due to the sensitive nature of your account information, I will need to verify your identity for security purposes before proceeding."
A,Account Verification,Positive,Please provide your date of birth.
C,,,March 18 1988.
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,Our records indicate that your account with greyhound medical is past due with a balance of 69.33.
A,Problem Resolution,Positive,You can pay this balance of 69.33 with a credit card.
A,Problem Resolution,Positive,"If you make a payment today, I can waive the late fee of 20."
A,Problem Resolution,Positive,Would you like to make a payment for 49.33 today in order to avoid further collection action?
C,,,"Yes, sure."
A,Problem Resolution,Positive,"Great you can pay with Discover, Mastercard or Visa."
A,Problem Resolution,Positive,Do you have a credit card ready for this transaction?
C,,,Yes.
A,Problem Resolution,Positive,I've waived the late fee of 20 and you're making a one-time payment for a total of 49.33 and let me confirm that you approved this transaction.
A,Problem Resolution,Positive,"Yes, I approved it your transaction has been completed and your confirmation number is 845663496."
A,Closure,Positive,"And, if you have any questions regarding your account."
A,Closure,Positive,Please call us back at 800 504 3644.
A,Closure,Positive,Our office hours is 8 a.m to 5 p.m.
A,Closure,Positive,"Monday to Friday, Central Time."
A,Closure,Positive,Thank you so much for your time Edward.
A,Closure,Positive,Have a great day.
C,,,Thank you.
A,Greetings,Positive,Thank you for calling.
A,Greetings,Positive,This is Jeline.
A,Greetings,Positive,How can I help you today?
C,,,I'm calling to check the order I placed just this morning.
C,,,It should be here by 9.00 am but i'm not getting anything yet.
A,Engagement,Positive,"Oh, I apologise about the delay."
A,Problem Investigation,Positive,Let me quickly check the status of your order.
A,Account Verification,Positive,What's your order confirmation number?
C,,,69
A,Account Verification,Positive,Thank you and your name and the phone number please?
C,,,Mary Williams.
C,,,Area Code:706932199.
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"As I've checked on the tracking information, the dispatch time is 8.45 am and our driver is just five minutes away from your place."
A,Problem Investigation,Positive,"Again, I apologize for the delay Miss Williams and I would like to thank you for your patience as a valued customer of red plate."
A,Problem Resolution,Positive,Your shipping and handling will be free of charge.
A,Problem Resolution,Positive,"So, instead of paying 25.99, you only need to pay 23.00."
A,Engagement,Positive,Okay?
C,,,Oh thanks.
A,Closure,Positive,You're most welcome and is there anything else that I can further assist you with today?
A,Closure,Positive,"Now, that's everything."
C,,,Thank you so much for your help.
A,Closure,Positive,"Sure, enjoy your order."
A,Closure,Positive,Have a good day.
C,,,You do the same honey.
C,,,Thank you.
A,Closure,Positive,Thank you.
C,,,Bye.
A,Greetings,Positive,Thank you for calling Ava's Flowers.
A,Greetings,Positive,This is Jeline.
A,Greetings,Positive,How can I help you?
C,,,I like to order flowers and I hope you have what I'm looking for.
A,Greetings,Positive,"Absolutely, I'm positive that we have what you're looking for."
A,Problem Investigation,Positive,"So, let me take your order."
A,Problem Investigation,Positive,What products are you interested in ordering?
C,,,A dozen of white roses.
A,Problem Investigation,Positive,One dozen of white roses.
A,Problem Investigation,Positive,Do you want long stems?
C,,,Yeah sure.
A,Problem Investigation,Positive,Would you like to add a pack of Fran's chocolates?
C,,,That would be great.
A,NA,,Sure.
A,Problem Resolution,Positive,"Alright, so your order is one dozen of white roses, $40 and a pack of Fran's chocolates that's $9."
A,Problem Resolution,Positive,A total of $49 free shipping and handling.
A,Problem Resolution,Positive,Are you good with these?
C,,,"Yep, it's perfect."
A,Account Verification,Positive,"Awesome, let me have your first and last name."
C,,,"Amanda Cole, thank you. "
A,Account Verification,Positive,May I have your home or office number?
A,Account Verification,Positive,Your area code first?
C,,,Area code 601 409 6969
A,Engagement,Positive,Thank you.
A,NA,,That's area code 601 409 6969.
A,Account Verification,Positive,Do you have an email address?
C,,,"Yes, it's amandacole49@gmail.com."
A,Engagement,Positive,Thank you.
C,,,That's your first and last name: a-m-e-n-d-a c-o-l-e @ gmail.com correct?
C,,,Yes ma'am.
A,Account Verification,Positive,May I have the name and the shipping entries for the order?
C,,,Belinda More.
C,,,"Her address is 4193, McIntosh Lane, San Antonio, Texas, 78221."
A,Engagement,Positive,Thank you.
A,NA,,"Let me confirm that 4193, McIntosh Lane, San Antonio, Texas, 78221."
A,NA,,Correct?
C,,,"Yes, you got it right."
A,Problem Resolution,Positive,"Would you like to use a Visa, Mastercard or American Express for the payment?"
C,,,Visa.
C,,,Card number is 5481 2003 3468 5010.
A,Problem Resolution,Positive,Thank you and the expiration date and cvv code please?
C,,,Expiration date is January of 2023.
C,,,CVV code is 486.
A,Problem Resolution,Positive,"Alright, thank you your order has been successfully processed for a total amount of $49 and it will be shipped within 24 hours."
A,Closure,Positive,Is there anything else that I can further assist you with today?
C,,,That's everything.
C,,,Thank you. 
A,Closure,Positive,You are most welcome.
A,Closure,Positive,"Again, thank you so much for calling Ava's Flowers."
A,Closure,Positive,Have a great day.
C,,,Thanks.
C,,,You do the same.
C,,,Bye.
A,Closure,Positive,Bye.
A,Greetings,Positive,Thank you for calling.
A,Greetings,Positive,My name is Jeline.
A,Greetings,Positive,May I have your name please?
C,,,This is Amanda. 
C,,,How are you?
A,Engagement,Positive,I'm doing very well.
A,Engagement,Positive,Thank you so much for asking.
A,Engagement,Positive,How about you?
C,,,"Not so good, honey."
A,Engagement,Positive,"Oh, I hope I can make you feel better today."
A,Greetings,Positive,How can  help you?
C,,,"Um, so listen uh Jeline."
C,,,I can't use my service.
C,,,I'm in the hospital right now and I need to contact my son so he could help me with my hospital bills.
C,,,I should be going home in a few days and I need to let him know.
A,Engagement,Positive,I can only imagine how difficult it is for you not to have a working phone.
A,Problem Investigation,Positive,"Since you mentioned that you're in hospital right now and you need to get in touch with your son immediately, I'll make sure that I won't let you go unless and until all your services is up and running."
A,Engagement,Positive,Okay?
C,,,Thank you so much.
A,Engagement,Positive,You are welcome.
A,Problem Investigation,Positive,"And, just in case that we need to do some troubleshooting steps, do you have any alternate number that I can use?"
C,,,"Yes, it's 419 562 3842."
A,Account Verification,Positive,"Thank you and to make sure that I'll be looking at the right account, may I know the phone number that you're calling in about?"
C,,,"Sure, it's 4195624699."
A,Account Verification,Positive,Thank you so much Amanda and your account security code please?
C,,,That's a 1031.
A,Engagement,Positive,Thank you.
C,,,You are welcome.
A,Problem Investigation,Positive,"Alright, so as I looked into your account, I've seen that you're in a forty dollar plan that gives you four gigs of data with unlimited calls and text."
A,Problem Investigation,Positive,And your plan will not expire until the 14th of October.
A,Problem Investigation,Positive,You've mentioned earlier that you don't have a service right.
A,Problem Investigation,Positive,So which of your services is not working?
C,,,The calls only.
C,,,"I can't call out, I can't receive calls too."
A,Problem Investigation,Positive,Alright how about sending and receiving messages?
A,Problem Investigation,Positive,Do you have any problems with those?
C,,,"No, I'm good with messages, I just received a message from ya'all last night great."
A,Problem Investigation,Positive,What about your internet?
C,,,"Well, I uh I think my internet is good."
C,,,"I can go to my facebook, read my emails so I know it's working."
C,,,That's perfect.
A,Problem Investigation,Positive,I just really want to make sure that you don't have any problems with those.
A,Problem Investigation,Positive,"And, now we just really need to focus on your phone calls."
A,Problem Investigation,Positive,"So, let me ask you this have you tried doing any basic troubleshooting before you called?"
A,Problem Investigation,Positive,Like turning off your phone and turning it back?
C,,,Oh no.
A,,,"Alright, okay, that's fine."
A,Problem Investigation,Positive,When was the last time that you were able to make a phone call?
C,,,Just last night. 
A,Problem Investigation,Positive,"Okay, is this happening to all of the phone numbers that you're trying to call in?"
C,,,Yes. It is.
A,Problem Investigation,Positive,Is this happening in all locations or just one specific location?
C,,,All locations.
C,,,"Even if I go outside or in my room, it's the same thing."
C,,,People can't call me and I can't call them.
A,Engagement,Positive,"Okay, I know this must be so difficult for you since I know that you need to talk to your family and friends and I thank you for providing me all the necessary information that I need so I can start troubleshooting your phone."
A,Problem Investigation,Positive,"So right now, can you tell me if your wi-fi is on or off?"
C,,,Um it's off. 
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,What about your airplane mode?
A,Problem Investigation,Positive,Is it on or off?
C,,,It's uh it's off.
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,What about your mobile data?
C,,,It's uh it's on.
A,Engagement,Positive,"Great, thank you for checking those for me."
A,Account Verification,Positive,"Now, can you please confirm your ICC ID number or your sim card number?"
C,,,"Okay, where can I see that?"
A,Problem Resolution,Positive,You can try to check it on the original box of the phone or your phone settings.
C,,,"Oh yeah, I still have the box."
C,,,"Uh, let me look real quick."
A,Engagement,Positive,Thank you.
C,,,"Okay,  so uh, it is."
A,NA,,Oh you can tell me the numbers after the five zeros ma'am.
C,,,"Oh great, okay."
C,,,"So, uh because there's a lot of numbers right here, so after the five zeros, I have 4126890633."
A,Engagement,Positive,Thank you so much.
A,,,"Let me quickly verify if we have the same ICC ID number on file, okay?"
C,,,Okay.
A,NA,,Oh great.
A,Problem Investigation,Positive,It's the same one and also let me check the coverage in your area.
A,Problem Investigation,Positive,Are you in Lancaster PA right now?
C,,,"Yes, I am, thank you."
A,Problem Investigation,Positive,What's your zip code?
C,,,It's uh 1717608. 
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"Okay, Alright, as I checked, we don't have any problems with the coverage in your area."
A,Problem Investigation,Positive,It's 4G and no current outages too.
A,Problem Resolution,Positive,"So, with that being said, let me proceed with the next part of our troubleshooting steps and this time, I will be needing your partnership."
A,Problem Resolution,Positive,Can you please go to your phone settings?
C,,,Okay. uh where can I uh check it?
A,Problem Resolution,Positive,"From your home screen, try to look for a gear icon and below the icon, you'll see the word settings."
C,,,Alright.
C,,,"Okay, let me uh look here."
C,,,"Okay, I found it."
C,,,"Uh, where should I go?"
C,,,"I'm uh, I'm on settings now. "
A,Engagement,Positive,Awesome.
A,Problem Resolution,Positive,"Now, look for general management."
C,,,"Okay, got it."
A,Problem Resolution,Positive,"Alright, so, tap reset."
C,,,Okay.
A,NA,,"Alright, great."
A,Problem Resolution,Positive,"So, before you tap reset network settings, I just want to let you know that this will erase saved wi-fi passwords and bluetooth connections but it won't delete any of your apps or personal data."
A,Problem Resolution,Positive,Are you okay to proceed?
C,,,"Yes, I am."
A,NA,,"Alright, perfect."
A,Problem Resolution,Positive,"Now, you'll have to confirm that you want to reset your network settings."
C,,,"Okay, okay, I'm done."
A,Problem Resolution,Positive,"Great, this time we're almost done with our initial troubleshooting steps and the last thing that I want you to do is to power recycle your phone."
A,Problem Resolution,Positive,"So, turn it off and wait 10 seconds, power it on then we'll test it."
A,Engagement,Positive,Okay?
A,Problem Resolution,Positive,Let me call you on your alternate number.
A,Problem Resolution,Positive,"So, don't hang up with this line and listen until you reach me on the other line, okay?"
C,,,Okay.
A,Greetings,Positive,Hello Amanda.
C,,,Hello
A,Problem Resolution,Positive,"Okay, so you can now disconnect the other line and uh turn off that device and wait 10 seconds before you turn it back on."
A,Problem Resolution,Positive,"Then, let me know once it's on, okay?"
C,,,Alright.
A,NA,,Great.
C,,,"Okay, now uh now it's off."
C,,,"Okay, wait 10 seconds you said, right?"
A,NA,,Yes ma'am.
C,,,"Okay, so, uh alright."
C,,,"Well, let me turn it on now."
C,,,Alright.
C,,,"Okay, now it's turning on."
C,,,It's on.
A,NA,,Good.
A,Problem Resolution,Positive,"So, it's now time for us to test it alright."
A,Problem Resolution,Positive,"So, can you try to call your son now?"
C,,,Okay honey.
C,,,I could give me a moment.
C,,,I hope it would work.
A,NA,,"Exactly, Cross fingers now. "
C,,,Alright.
C,,,"Hello honey, thank you so much you helped me a lot."
C,,,I was able to talk to my son and he told me that he'll go there after work.
C,,,You're such a blessing for me.
C,,,Thank you so much.
A,NA,,Oh great.
A,Engagement,Positive,"Okay, so, it worked."
A,Engagement,Positive,"You're most welcome, ma'am."
A,Closure,Positive,I am so happy for you and thank you for partnering with me today.
A,Closure,Positive,I hope I was able to make you smile and I'm praying for your fast recovery.
A,Closure,Positive,And is there anything else that I can further assist you with today?
C,,,"No honey, that's it."
C,,,Thank you so much.
A,Closure,Positive,You're most welcome again.
A,Closure,Positive,This is Jeline.
A,Closure,Positive,Enjoy the rest of the day.
A,Closure,Positive,Thank you for being the best part of Verizon.
A,Closure,Positive,Bye for now.
C,,,Bye-bye.
A,Greetings,Positive,Thank you for calling technical support.
A,Greetings,Positive,My name is Harold.
A,Greetings,Positive,How can I help you?
C,,,Hello Harold.
C,,,My printer is not working.
A,Engagement,Positive,I'm sorry to hear that your printer is not working.
A,Problem Investigation,Positive,Let me go and check what's the problem and let's fix it together.
C,,,Alright.
A,Account Verification,Positive,"Before we start, may I please have your name and best callback number in case a call got disconnected?"
C,,,"Sure, it's Mike and my number is 12345678."
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,May I also have the model of your printer?
A,Account Verification,Positive,It's located in front of your printer at the lower right side.
C,,,Found it.
C,,,It's wf-250.
A,Problem Investigation,Positive,"Thank you and just to clarify when you said that the printer is not working, do you mean it's not turning on or do you see any error message or you can't print from your computer?"
C,,,I can't print from my computer.
A,Problem Investigation,Positive,"Alright, do you have a windows computer or a mac?"
C,,,A windows 10.
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,It's uh connected wirelessly or usb cable?
C,,,It's connected wirelessly.
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"To make sure that this is not a printer problem, we will try to do a copy test."
A,Problem Investigation,Positive,"So, you have to photocopy any documents and make sure it's coloured and if output is perfect that means that the printer is good. "
C,,,"Okay, give me a minute. Sure take your time."
C,,,"Okay, the copy went perfectly fine great."
A,Problem Investigation,Positive,That means there's no problem on your printer. 
A,Problem Resolution,Positive,We will now proceed in checking your connection.
C,,,"Okay, how do we do that? "
A,Problem Resolution,Positive,"First, let's reboot your modem."
C,,,What is the modem?
A,Problem Resolution,Positive,It's an upright standing box given by your internet provider.
A,Problem Resolution,Positive,It has a blinking green light on it.
C,,,Oh the internet tower.
A,Problem Resolution,Positive,"Yes, please go to your modem and at the back there's a tiny black cable that looks like an old cell phone charger."
C,,,"Okay, I found it."
A,Problem Resolution,Positive,"Great, please unplug it from the modem."
C,,,Done.
A,Problem Resolution,Positive,"Awesome, now, all the lights will go out."
A,Problem Resolution,Positive,"After 30 seconds, please plug it back, okay?"
C,,,I'm doing it now.
A,Problem Resolution,Positive,Now we have to wait two minutes for it to boot up. 
A,NA,,Okay.
A,Problem Resolution,Positive,"Once you see at least four green lights, please let me know."
C,,,The lights are back on now.
A,Problem Resolution,Positive,Can you please try printing?
C,,,It's still not working.
A,Problem Resolution,Positive,Let's check if your printer is connected to the same network as your computer.
A,Problem Resolution,Positive,Please go to your printer and press the menu button.
C,,,Okay.
A,Problem Resolution,Positive,"On the menu, please click the right arrow button to navigate and look for the setup."
A,Problem Resolution,Positive,It has a wrench icon with screwdriver.
A,Problem Resolution,Positive,"You have to highlight it, then press enter."
C,,,Found it.
A,NA,,Great.
A,Problem Resolution,Positive,"Under the setup, please click the down arrow button and select wi-fi setup."
A,Problem Resolution,Positive,"Then, press enter."
C,,,Okay.
A,Problem Resolution,Positive,"Under WIFI setup, do you see the name of your WIFI?"
C,,,Yes.
A,Problem Resolution,Positive,Select it please.
A,Problem Resolution,Positive,Now it will ask you to type the password or it will say connected if you are connected.
C,,,It's asking for a password.
C,,,How can I type?
A,Problem Resolution,Positive,I see you have to highlight the box where you need to type in the password and press enter.
A,Problem Resolution,Positive,It will give you a keyboard and you have to use the arrow buttons to select a letter and press enter to input the selected letter.
C,,,"Okay, doing it now."
A,Problem Resolution,Positive,"Awesome, just remember that it is case sensitive. "
C,,,"Alright, I'm done typing."
A,Problem Resolution,Positive,"So, you have to put the right password on it."
C,,,Should I click proceed?
A,NA,,Yes please.
C,,,Successfully connected but it's printing now.
A,Problem Resolution,Positive,That's great all the document that's on the queue will be printed now.
C,,,Thank you for all your help.
A,Engagement,Positive,You're welcome.
A,Closure,Positive,Is there anything else that I can help you with for today Mike?
C,,,"No, you did wonderful."
A,Closure,Positive,Thank you.
A,Closure,Positive,Just a quick recap you called it today because you can't print from your computer.
A,Closure,Positive,We tested the printer and it's working fine we found out that your printer is not connected to your wi-fi so we reconnected it and now it's printing perfectly.
A,Closure,Positive,"If ever this happened again try, to turn on and off your modem first and check then follow the steps we did earlier to fix the printer again."
A,Closure,Positive,This is Harold and thank you for calling tech support.
A,Closure,Positive,You have a wonderful day.
A,Greetings,Positive,Hi.
A,Greetings,Positive,Thank you for calling technical support department.
A,Greetings,Positive,My name is Sunshine.
A,Account Verification,Positive,Can I have your first and last name please?
C,,,"Hi, I'm Brian O'Neill."
A,Account Verification,Positive,"Thank you Brian and for me to pull up your account, can I also have your account number?"
C,,,"Sure, it's 001100."
A,Engagement,Positive,Thank you so much.
A,Greetings,Positive,"Now, can you tell me how can I assist you today?"
C,,,"Yeah, I think I need to clear my browsing history but I don't know how to do it."
A,Problem Investigation,Positive,"Okay, I understand that you need assistance on how to clear the browsing history on your browser and I know that this is very important for you to be addressed."
A,Problem Investigation,Positive,So let me go ahead and assist you now on how we can clear the browsing history.
A,Problem Investigation,Positive,Okay but I need to understand what browser browser are you using on your computer.
C,,,I don't know.
A,Problem Investigation,Positive,Is the browser that you're using Internet Explorer or Google Chrome?
C,,,"I really don't know, I'm sorry."
A,Problem Investigation,Positive,"Internet Explorer actually looks like a blue letter e icon and about Google Chrome it's a round icon away the red, green and yellow colours inside."
C,,,I think that's the one I'm using.
A,Problem Investigation,Positive,That's the one you're using.
A,NA,,Yes all right.
A,Problem Investigation,Positive,"So, for us to get started in troubleshooting your browser, please make sure that your Google Chrome or browser is open now on your computer."
C,,,"Yes, it's open now."
A,Problem Resolution,Positive,"Alright, once it's open, you should be seeing a three dots on the upper right corner."
C,,,"Yes, I can see it."
C,,,"Alright, can we click on it?"
A,Problem Resolution,Positive,"Once you click on it, there will be options available but we select the one that says settings."
C,,,"Okay, I clicked on settings."
A,Engagement,Positive,"Okay, good job."
A,Problem Resolution,Positive,"Now, after clicking on settings on the left side, you should be seeing there an option that says clear browsing data or clear browsing history."
A,Problem Resolution,Positive,It says clear browsing history.
A,Problem Resolution,Positive,Okay you can click that one now.
A,Problem Resolution,Positive,"Actually, it will give you the options to clear the history that was recorded just for today or you can also clear all the browsing history like from the beginning of the time."
C,,,I cleared all of them.
A,Engagement,Positive,"Alright, so while it's still loading right now, how are you doing today?"
C,,,I'm fine thank you.
C,,,How about you?
A,NA,,Oh good. I'm doing fine.
A,Engagement,Positive,Thank you so much for asking.
C,,,It's done.
A,Problem Investigation,Positive,"Okay so now that it's done, would you like us to test the resolution?"
A,,,Can you close your Google Chrome and then relaunch it?
A,Problem Investigation,Positive,"Let's see if you can, if you will be able to pull up the websites now with no problem at all."
A,Problem Investigation,Positive,Is it working now?
C,,,Yes.
A,Engagement,Positive,"Alright, congratulations."
A,Closure,Positive,So is there anything else Brian that I can possibly assist with today?
C,,,"No, you have been very helpful."
C,,,Thank you.
A,Closure,Positive,"Oh, you're welcome."
A,Closure,Positive,Thank you so much as well for calling again technical support department.
A,Closure,Positive,My name is Sunshine.
A,Closure,Positive,You have a wonderful day.
A,Greetings,Positive,"Hi, thank you for calling Mary hotel."
A,Greetings,Positive,This is Anna.
A,Greetings,Positive,How may I help you?
C,,,I'd like to make a reservation for the third week of July.
C,,,Do you have any vacancies?
A,NA,,Yes ma'am.
A,Problem Investigation,Positive,We have several rooms available for that particular weekend and what is the exact date of your arrival?
C,,,Saturday 18th of July.
A,Problem Investigation,Positive,How long will you be staying?
C,,,I will be staying for two nights.
A,Problem Investigation,Positive,"And, how many people in the reservation? "
C,,,There will be two of us.
A,Problem Investigation,Positive,"And, what kind of room you like?"
A,Problem Investigation,Positive,Do you like a twin bed or a double bed?
C,,,Double bed please.
A,Problem Investigation,Positive,"Great, and, would you prefer to have a room with a view of the ocean? "
C,,,"If that's available, yeah I would love to and how much it would cost me?"
A,Problem Investigation,Positive,The rate of that room is 590 dollars per night.
C,,, Okay it's fine for me.
A,Account Verification,Positive,Okay and now what name would you prefer to be listed on the reservation?
C,,,Please put Roxanne Roberts.
A,Account Verification,Positive,Can you spell outyour name for me please?
C,,,"Sure no problem with that. R as in Romeo, O was in Oscar, X as an X-ray, A as in alpha, N as in Nancy, N as in Nancy, E is an Echo, R as in Romeo, O as in Oscar, B as in Bravo, E as in Echo, R as in Romeo, T as in Tango and S as in Sierra."
A,Engagement,Positive,Thank you so much and let me fill out the form for you.
A,NA,,Let me gather some information from you to complete the reservation.
A,Account Verification,Positive,"And, what is your best callback number?"
C,,,It's 12345678912.
A,Account Verification,Positive,May I have your email address where I can send your reservation number?
C,,,My email address is roxanne.roberts@outlook.com.
A,Problem Resolution,Positive,Thank you and now I just need your credit card number to complete the reservation.
A,Problem Resolution,Positive,"And, what type of card will you be using today?"
C,,,I would like to use my visa card.
A,Problem Resolution,Positive,"Okay and if you're ready, please state the card number."
C,,,16 digit number will be 444555512345678.
A,Problem Resolution,Positive,"And, what is the name appearing on the card?"
C,,,Its Roxanne Jay Roberts. 
A,Problem Resolution,Positive,And may I have the expiration date?
C,,,It is 12/20/22. 
A,Problem Resolution,Positive,Can I also have the last three digits at the back of the card?
C,,,"Sure, it's one two three."
C,,,"And, Ana, I have a question."
C,,,"If I decided to cancel my reservation, is this refundable anyway?"
A,Problem Resolution,Positive,Let me check the terms and condition for you.
A,Problem Resolution,Positive,One moment please.
C,,,I appreciate it very much.
C,,,Thank you very much.
A,Problem Resolution,Positive,"Welcome and upon checking here, the room that we're trying to book is a refundable room at any time."
A,Problem Resolution,Positive,So you can cancel your room anytime at no cost.
C,,,"Wow, that's great. Well Anna, let's proceed."
A,Problem Resolution,Positive,"Alright, so your reservation has been made for the 18th of July for a room with a double bed and view of the ocean."
A,Problem Resolution,Positive,Check-in is a two o'clock.
A,Problem Resolution,Positive,Breakfast and dinner is included as well.
C,,,Okay got it.
A,Problem Resolution,Positive,"And, Roxanne, I will send the details to your email address that you provided to me earlier."
A,Closure,Positive,"So, that includes the reservation number and if you have questions, please do not hesitate to call us back, okay?"
A,Closure,Positive,"Okay and, is there anything else that I can assist you with Roxanne?"
C,,,"Well, I cannot think of any Anna and thank you so much for helping me today."
C,,,Good job and have a great day.
A,Closure,Positive,"Okay, goodbye."
A,Closure,Positive,They're very much welcome and thank you as well for choosing Mary Hotel.
A,Closure,Positive,You have a great day.
A,Closure,Positive,"Okay, goodbye for now."
A,Greetings,Positive,Good Morning.
A,Greetings,Positive,Escala Tagaytay hotel reservation.
A,Greetings,Positive,This is Sydney speaking.
A,Greetings,Positive,How can I help you?
C,,,"Yes, I'd like to reserve a room for two please."
A,Account Verification,Positive,"Before I proceed to the reservation process, may I know who is on the line?"
C,,,I am Shynymik Hernani.
A,Account Verification,Positive,Could you spell your first name for me please?
C,,,Sure. S H Y N Y M I K.
A,Engagement,Positive,Thank you for that information Ms. Hernani.
A,Problem Investigation,Positive,May I know which date you would like to make your reservation?
C,,,I'm planning to visit Tagaytay on 25th until 27th of April.
C,,,So you have any vacancies?
A,Problem Investigation,Positive,"Yes, we have several rooms available for those particular days."
A,Problem Investigation,Positive,May I know what type of room is Ms. Hernani you would like to stay?
C,,,Do you have any premiere rooms?
A,Problem Investigation,Positive,I'm sorry to inform you Ms. Hernani but all our premier rooms have been booked on the 25th of April.
A,Problem Resolution,Positive,How about a deluxe room instead?
A,Problem Resolution,Positive,We can transfer you once there's availability.
C,,,"Uh okay, that is fine. "
A,Problem Resolution,Positive,Perhaps you didn't know that you have new room rates.
A,Engagement,Positive,Do you find that acceptable Ms. Hernani?
C,,,Please tell me the price so I can make a decision.
A,Problem Resolution,Positive,"For a deluxe room, we have it at 6405 pesos Ms. Hernani per room per night."
C,,,That's a reasonable price.
A,Problem Investigation,Positive,"Now, as for the room Ms. Hernani, do you prefer smoking or non-smoking?"
C,,,Definitely non-smoking.
C,,,I cannot handle that smell non-smoking.
A,Problem Investigation,Positive,Now is a queen-size bed okay?
C,,,A queen sounds great.
A,Problem Investigation,Positive,Would you prefer to have a room with a view of Taal Lake?
C,,,"If that type of room is available, I would love to have Taal Lake view."
A,Problem Resolution,Positive,"Great, would you like to confirm your reservation Ms. Hernani?"
C,,,"Yes, I would like to confirm the reservation."
A,Account Verification,Positive,Can I have the name of the persons who will be staying Ms. Hernani?
C,,,Mr. and Mrs. Nuas.
A,Engagement,Positive,Ok one more second Ms. Hernani.
A,Problem Resolution,Positive,Your reservation is now verified.
A,Account Verification,Positive,So all I need to know is your phone number.
C,,,It's 092910681262.
A,NA,,Let me repeat that. 092910681262.
A,Problem Investigation,Positive,Okay Ms. Hernani. How will the bill be settled?
C,,,Do you accept payments via credit card?
A,Problem Resolution,Positive,Yes Ms. Hernani.
A,Problem Resolution,Positive,"Now, I'll need your credit card information to reserve the room for you."
A,Problem Investigation,Positive,What type of card is it?
C,,,"Visa, the number is 897654231."
A,Problem Investigation,Positive,"And, what is the name of the cardholder?"
C,,,Shynymik M. Hernani.
A,Problem Resolution,Positive,"Alright Ms. Hernani, your reservation has been made for the 25th until the 27th of April for a deluxe room with a queen-size bed and of course with a view of the lake."
A,Problem Resolution,Positive,Your bills will be settled via visa amounting to 12800 pesos.
A,Problem Resolution,Positive,Check-in is at two o'clock.
A,Problem Resolution,Positive,Is that correct Ms. Hernani?
C,,,"Yes, that's all correct. "
A,Problem Resolution,Positive,We wish to inform you about our 6 o'clock policy.
A,Problem Resolution,Positive,Please be advised that you have to check in not later than 6:00 p.m.
A,Problem Resolution,Positive,"Otherwise, the hotel reserves the right to give the room to the wait-listed clients."
